,imgData,price,rating,title
0,"{'src': 'media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg', 'alt': 'A Light in the Attic'}",51.77,Three,A Light in the Attic
1,"{'src': 'media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg', 'alt': 'Tipping the Velvet'}",53.74,One,Tipping the Velvet
2,"{'src': 'media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg', 'alt': 'Soumission'}",50.1,One,Soumission
3,"{'src': 'media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg', 'alt': 'Sharp Objects'}",47.82,Four,Sharp Objects
4,"{'src': 'media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg', 'alt': 'Sapiens: A Brief History of Humankind'}",54.23,Five,Sapiens: A Brief History of Humankind
5,"{'src': 'media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg', 'alt': 'The Requiem Red'}",22.65,One,The Requiem Red
6,"{'src': 'media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg', 'alt': 'The Dirty Little Secrets of Getting Your Dream Job'}",33.34,Four,The Dirty Little Secrets of Getting Your Dream Job
7,"{'src': 'media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg', 'alt': 'The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull'}",17.93,Three,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
8,"{'src': 'media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg', 'alt': 'The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics'}",22.6,Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
9,"{'src': 'media/cache/58/46/5846057e28022268153beff6d352b06c.jpg', 'alt': 'The Black Maria'}",52.15,One,The Black Maria
10,"{'src': 'media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg', 'alt': 'Starving Hearts (Triangular Trade Trilogy, #1)'}",13.99,Two,"Starving Hearts (Triangular Trade Trilogy, #1)"
11,"{'src': 'media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg', 'alt': ""Shakespeare's Sonnets""}",20.66,Four,Shakespeare's Sonnets
12,"{'src': 'media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg', 'alt': 'Set Me Free'}",17.46,Five,Set Me Free
13,"{'src': 'media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg', 'alt': ""Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)""}",52.29,Five,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
14,"{'src': 'media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg', 'alt': 'Rip it Up and Start Again'}",35.02,Five,Rip it Up and Start Again
15,"{'src': 'media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg', 'alt': 'Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991'}",57.25,Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
16,"{'src': 'media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg', 'alt': 'Olio'}",23.88,One,Olio
17,"{'src': 'media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg', 'alt': 'Mesaerion: The Best Science Fiction Stories 1800-1849'}",37.59,One,Mesaerion: The Best Science Fiction Stories 1800-1849
18,"{'src': 'media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg', 'alt': 'Libertarianism for Beginners'}",51.33,Two,Libertarianism for Beginners
19,"{'src': 'media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg', 'alt': ""It's Only the Himalayas""}",45.17,Two,It's Only the Himalayas
